iteration = 124:10001001001001001100001011100010111001111100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.829977, P = 1
iteration = 125:10001001001001101100001011100010111001111100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.52513, P = 1
iteration = 126:11001001001001101100001011100010111001111100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.887527, P = 1
iteration = 127:11001001001001101100000011100010111001111100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.337944, P = 1
iteration = 128:11001001001001101100000011100010111001011100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.17739, P = 1
iteration = 129:11001001001001101100000011110010111001011100111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.837993, P = 1
iteration = 130:11001001001001101100000011110010111001011110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.200653, P = 1
iteration = 131:11001001001001101100000011110010111001011110111101, f(current_state) = -2147483648, rand()/RAND_MAX = 0.376529, P = 1
iteration = 132:11001001001001101100000011110010111001011110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.609286, P = 1
iteration = 133:11001001001001100100000011110010111001011110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.576919, P = 1
iteration = 134:11101001001001100100000011110010111001011110111100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.596159, P = 1
iteration = 135:11101001001001100100000011110010111001011110110100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.849168, P = 1
iteration = 136:11101001001001100100000011110110111001011110110100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.427642, P = 1
iteration = 137:11101001001001100100000111110110111001011110110100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.306261, P = 1
iteration = 138:11101001001001100100000111110110110001011110110100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.893621, P = 1
iteration = 139:11101001001001100100001111110110110001011110110100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.824335, P = 1
iteration = 140:11101001001001100100001111110110110001011110100100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.297516, P = 1
iteration = 141:11101001001001100100001110110110110001011110100100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.382943, P = 1
iteration = 142:11101001001001100100001110110111110001011110100100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.229651, P = 1
iteration = 143:11101001001001100100001110110111110001011110110100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.750165, P = 1
iteration = 144:11101001011001100100001110110111110001011110110100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.913207, P = 1
iteration = 145:11101001011001100100001110110011110001011110110100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.531493, P = 1
iteration = 146:11101001111001100100001110110011110001011110110100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.893497, P = 1
iteration = 147:11101101111001100100001110110011110001011110110100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.739878, P = 1
iteration = 148:11100101111001100100001110110011110001011110110100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.514626, P = 1
