iteration = 212:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.306685, P = 2.06381
iteration = 213:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.765207, P = 2.8189e-21
iteration = 214:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.0519484, P = 1.07323e-21
iteration = 215:1111111011, f(current_state) = 763, rand()/RAND_MAX = 0.0218451, P = 0.0459909
iteration = 216:1111111011, f(current_state) = 763, rand()/RAND_MAX = 0.628183, P = 0.00186534
iteration = 217:1111111011, f(current_state) = 763, rand()/RAND_MAX = 0.223814, P = 0.00164082
iteration = 218:1111111011, f(current_state) = 763, rand()/RAND_MAX = 0.702164, P = 1.84414e-23
iteration = 219:1111111011, f(current_state) = 763, rand()/RAND_MAX = 0.915883, P = 6.33624e-24
iteration = 220:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.299366, P = 30.163
iteration = 221:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.858108, P = 0.000956452
iteration = 222:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.728071, P = 0.0288086
iteration = 223:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.101754, P = 0
iteration = 224:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.414355, P = 1.47241e-13
iteration = 225:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.0670692, P = 0.389778
iteration = 226:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.260051, P = 0.021373
iteration = 227:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.636995, P = 5.4015e-28
iteration = 228:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.119717, P = 0.000332663
iteration = 229:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.761437, P = 7.98085e-08
iteration = 230:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.779138, P = 3.2688e-15
iteration = 231:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.760041, P = 0.119172
iteration = 232:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.303667, P = 2.96033
iteration = 233:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.385908, P = 0.109164
iteration = 234:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.539377, P = 0.0108868
iteration = 235:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.698524, P = 9.43384e-17
iteration = 236:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.506837, P = 0
iteration = 237:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.0729983, P = 0
iteration = 238:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.904755, P = 3.06685e-09
iteration = 239:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.538604, P = 0.0820576
iteration = 240:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.814487, P = 0
iteration = 241:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.187527, P = 0
iteration = 242:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.016058, P = 0
iteration = 243:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.641275, P = 0
iteration = 244:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.226725, P = 0.00395729
iteration = 245:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.30744, P = 0.0594542
iteration = 246:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.185993, P = 0
iteration = 247:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.413183, P = 1.43367e-41
iteration = 248:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.0513348, P = 1.45026e-21
iteration = 249:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.495492, P = 2.33391e-11
iteration = 250:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.100883, P = 3.76317e-06
iteration = 251:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.429455, P = 0.041325
iteration = 252:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.750647, P = 0
iteration = 253:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.842628, P = 0
iteration = 254:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.677206, P = 0
iteration = 255:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.974513, P = 0.0316042
iteration = 256:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.986906, P = 0
iteration = 257:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.566232, P = 0.000751226
iteration = 258:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.986563, P = 0
iteration = 259:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.138739, P = 0
iteration = 260:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.610218, P = 0.000479248
iteration = 261:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.219152, P = 0.0202492
iteration = 262:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.513658, P = 0.000349696
iteration = 263:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.285871, P = 0
iteration = 264:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.431427, P = 4.02449e-15
iteration = 265:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.155705, P = 2.04611e-15
iteration = 266:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.975379, P = 0
iteration = 267:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.14003, P = 5.07292e-16
iteration = 268:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.0876137, P = 0
iteration = 269:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.381429, P = 0
iteration = 270:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.363891, P = 0
iteration = 271:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.256512, P = 0
iteration = 272:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.517983, P = 0
iteration = 273:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.353761, P = 2.32873e-09
iteration = 274:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.0302505, P = 0.0792259
iteration = 275:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.717835, P = 0
iteration = 276:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.938677, P = 2.59333e-05
iteration = 277:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.436679, P = 4.37046e-10
iteration = 278:1111111110, f(current_state) = 766, rand()/RAND_MAX = 0.569321, P = 0
iteration = 279:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.0173286, P = 16.5262
iteration = 280:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.503914, P = 0
iteration = 281:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.533058, P = 5.07641e-21
iteration = 282:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.758194, P = 0
iteration = 283:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.20532, P = 7.39196e-22
iteration = 284:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.655745, P = 0
iteration = 285:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.610627, P = 9.80909e-45
iteration = 286:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.942691, P = 0
iteration = 287:1111111111, f(current_state) = 767, rand()/RAND_MAX = 0.370433, P = 0.00136861
